controller.kp,controller.kd,total_cost
83.75041752553025,0.13285273185867807,164.4201822756916
95.35481007248539,0.33274470836697767,164.45264460188253
71.56424925952928,0.023433422014449423,164.54004043730663
99.70043729033239,0.5025755137195465,164.95118845037763
83.95836439498898,0.3074800565755109,165.1556894904862
99.46730576993158,0.6587800931974974,165.74677288503668
93.8617691408291,0.6859457489407794,166.12912569496345
90.50278918252374,0.7590670764472496,166.4577650377376
79.65347005535169,0.588072587600087,166.70879452431936
57.82868636290624,0.29229245427543793,166.80875871313444
71.05269406485358,0.48174773907896373,166.86641285218164
54.89264217809025,0.2639119157687364,167.02761747001207
87.00420557070827,0.8170250392731782,167.0686580667616
51.14479425670973,0.29120556223680927,167.19439786757488
92.1297449249821,1.1198618487508638,167.7496585820096
53.34376933082505,0.43318668724138365,167.92122926005976
99.99446556350956,1.3506734958733069,168.31946262942265
55.75985285251823,0.6697881951071016,168.47295000446073
39.20977692742934,0.31966853001199724,168.75304168390528
48.33435140533939,0.560355235838772,168.81609584074363
27.497698424621458,0.15944486565110938,169.0104591176843
61.269933525581415,0.9837729059884637,169.38500437491112
42.63484658722907,0.8069496123180597,170.29741655548594
17.211666543990752,0.12844339911333935,170.30695767585453
49.619356063861076,1.0207736327898709,170.5381580306011
43.913028592292534,0.8790260492233826,170.55011421582049
17.616018947784973,0.22709752582501408,170.72143457311307
60.214488882945204,1.2871739464515763,170.78173829647676
57.34668630098304,1.2878315063022416,170.87049606516186
31.969522932266095,0.7417879604165667,170.9791723385964
10.219775623387248,0.02873207711289516,171.0634470481947
84.65799710137458,1.838225538831667,171.08858727810056
9.627332476328785,6.389759866601228,171.3046620785036
6.279827985784077,4.433248728212874,171.36548911896773
23.897986542020632,0.5954272959104756,171.47142703409216
69.4583113118632,1.713046821920744,171.56503489428025
91.43836490745343,2.116892372971455,171.6530143414277
14.030425350700222,0.316412655614412,171.68950163186665
68.25729380567134,1.7237916549698151,171.71505436959205
50.702827258900136,1.4341202322416746,171.94659387197538
34.824844778489606,1.0423827352368398,172.00024803583622
50.25587020515405,1.447487630896127,172.01456512307436
81.95850408552104,2.1024538552979766,172.07599913331106
98.83319122942702,2.3886228513868044,172.0915924475151
24.615478913520224,0.8837099897434131,172.4834047208048
47.97313037663624,1.5178750019149123,172.4913320626798
82.61552234024913,2.2400062704363832,172.54290079040425
15.149157164584041,0.5828483029361142,172.64788023245393
33.00428727677204,1.227797459898301,172.77881853786403
30.087444622119417,1.1522960491751688,172.83219383781352
