actuator.time_constant,actuator.torque_rate_limit,total_cost
0.005584085161915015,36352.40578119212,0.008220109959315876
0.005727996606914435,98918.81436531978,0.008225154686890244
0.00593253261467117,27515.482913391214,0.008238708740091364
0.006280765568040203,60970.37375732585,0.008279379298886011
0.0043454669321370655,43202.9220528561,0.008319533924312093
0.004450658147930698,17714.787359365924,0.008339910647251801
0.004985155387581175,14820.175098332731,0.008369317236242279
0.003855584257910405,49551.36216331794,0.008423703356612054
0.006974764950924092,21024.07147173348,0.008430595163761821
0.0038086109338072416,48856.05263655166,0.00843547178893003
0.006775010618471074,17214.107640934504,0.008457952279167636
0.003617668359313202,80297.13585190372,0.008486419909199138
0.0035289618514913177,34089.003518694255,0.008511761902148033
0.004563299648008453,12812.091560356976,0.008523940844973541
0.003678766395614881,15772.336599349555,0.008539431218193762
0.0034250023954450655,75400.77914111085,0.008542788294906891
0.003394388196033863,51515.0268133694,0.00855219511988072
0.0033257816480881754,22013.229399715357,0.00857371795118562
0.0033091748670204613,76624.93064995986,0.008579019142219212
0.004024537716823021,12723.36837925602,0.0085910002129669
0.007486097402386331,88122.94930631049,0.008611133161946042
0.0031221903764219443,42452.65753290266,0.008641136248092308
0.0031589304969305352,17388.733147911546,0.008660292894274746
0.0028611478400485074,52380.50196742143,0.00873515664289482
0.002641022046774879,89787.61099282622,0.008820849404197553
0.002754619767650164,13955.068069659474,0.008856160920040261
0.008026977972393622,18946.910935949723,0.008902744933468114
0.002431331118865727,16911.33534199262,0.008937948910710295
0.002306103877458579,23256.472261957606,0.008962059023284055
0.0029527597583936978,10166.461190187985,0.008982885885445187
0.0032961631495174873,9487.906082498499,0.008985052441950149
0.002176945205269088,47256.009657521834,0.00901989712933088
0.0021582742024996143,38705.174626554384,0.009028410346266702
0.0021158896670149456,31184.48373028672,0.009047877409090603
0.0019751337925866374,39160.60643843192,0.009113921652902417
0.002024672252456398,12864.652357191217,0.009164438285015765
0.0035298722474023762,8242.05153203503,0.009164786607864885
0.0023414323039322197,9698.286966895568,0.009183347327471184
0.0018592732215704918,14452.996342438193,0.0092188471075294
0.00169857677010406,72172.22202799193,0.00924991852127123
0.0016729682313564415,37581.64343342224,0.009262916294084855
0.008602191542841116,26068.841806479173,0.009272843576269707
0.0016073936612061076,73712.96685148317,0.00929650537815995
0.001976116967376745,9117.146232251904,0.009344546527975714
0.0016636691926982282,11847.908278210045,0.00935197944576699
0.0013552957807340044,63293.76335303478,0.009429671488931122
0.0013960482417859534,13992.22716599252,0.00944885214042395
0.0012864483000324316,47182.96082747341,0.009467131169147883
0.0012503280345603578,96464.21585878091,0.009486968190442237
0.001208531790414811,25331.350298128047,0.00951007939429225
